Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02132","Asses","2021","2021","Head","1561764","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02121.01","Camels","2021","2021","Head","169286","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02111","Cattle","2021","2021","Head","5122077","E","Estimated value"
"QCL","Crops and livestock products","004","Afghanistan","5112","Stocks","02151","Chickens","2021","2021","1000 Head","13855","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02123","Goats","2021","2021","Head","7990484","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02131","Horses","2021","2021","Head","18700","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02133","Mules and hinnies","2021","2021","Head","23947","I","Imputed value"
"QCL","Crops and livestock products","004","Afghanistan","5111","Stocks","02122","Sheep","2021","2021","Head","13530316","E","Estimated value"
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02132","Asses","2021","2021","Head","58000","T","Unofficial figure"
"QCL","Crops and livestock products","008","Albania","5114","Stocks","02196","Bees","2021","2021","No","393635","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02112","Buffalo","2021","2021","Head","94","I","Imputed value"
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02111","Cattle","2021","2021","Head","336784","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02151","Chickens","2021","2021","1000 Head","7652","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02154","Ducks","2021","2021","1000 Head","0","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02153","Geese","2021","2021","1000 Head","0","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02123","Goats","2021","2021","Head","775337","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02131","Horses","2021","2021","Head","75568","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02133","Mules and hinnies","2021","2021","Head","0","M","Missing value (data cannot exist, not applicable)"
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02122","Sheep","2021","2021","Head","1480450","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02140","Swine / pigs","2021","2021","Head","159237","A","Official figure"
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02152","Turkeys","2021","2021","1000 Head","411","A","Official figure"
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02132","Asses","2021","2021","Head","80451","A","Official figure"
"QCL","Crops and livestock products","012","Algeria","5114","Stocks","02196","Bees","2021","2021","No","426469","E","Estimated value"
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02121.01","Camels","2021","2021","Head","448546","A","Official figure"
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02111","Cattle","2021","2021","Head","1734476","A","Official figure"
"QCL","Crops and livestock products","012","Algeria","5112","Stocks","02151","Chickens","2021","2021","1000 Head","137269","I","Imputed value"
"QCL","Crops and livestock products","012","Algeria","5112","Stocks","02154","Ducks","2021","2021","1000 Head","64","I","Imputed value"
"QCL","Crops and livestock products","012","Algeria","5112","Stocks","02153","Geese","2021","2021","1000 Head","48","I","Imputed value"
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02123","Goats","2021","2021","Head","5029042","A","Official figure"
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02131","Horses","2021","2021","Head","50231","A","Official figure"
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02133","Mules and hinnies","2021","2021","Head","17518","A","Official figure"
"QCL","Crops and livestock products","012","Algeria","5112","Stocks","02191","Rabbits and hares","2021","2021","1000 Head","1695","I","Imputed value"
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02122","Sheep","2021","2021","Head","31126445","A","Official figure"
"QCL","Crops and livestock products","012","Algeria","5111","Stocks","02140","Swine / pigs","2021","2021","Head","4616","E","Estimated value"
"QCL","Crops and livestock products","012","Algeria","5112","Stocks","02152","Turkeys","2021","2021","1000 Head","93","I","Imputed value"
"QCL","Crops and livestock products","024","Angola","5111","Stocks","02132","Asses","2021","2021","Head","4487","I","Imputed value"
"QCL","Crops and livestock products","024","Angola","5114","Stocks","02196","Bees","2021","2021","No","1187289","I","Imputed value"
"QCL","Crops and livestock products","024","Angola","5111","Stocks","02111","Cattle","2021","2021","Head","5189749","E","Estimated value"
"QCL","Crops and livestock products","024","Angola","5112","Stocks","02151","Chickens","2021","2021","1000 Head","50213","I","Imputed value"
"QCL","Crops and livestock products","024","Angola","5111","Stocks","02123","Goats","2021","2021","Head","4572562","E","Estimated value"
"QCL","Crops and livestock products","024","Angola","5111","Stocks","02131","Horses","2021","2021","Head","1021","I","Imputed value"
"QCL","Crops and livestock products","024","Angola","5111","Stocks","02122","Sheep","2021","2021","Head","1212553","E","Estimated value"
"QCL","Crops and livestock products","024","Angola","5111","Stocks","02140","Swine / pigs","2021","2021","Head","3656924","E","Estimated value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5111","Stocks","02132","Asses","2021","2021","Head","1738","I","Imputed value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5111","Stocks","02111","Cattle","2021","2021","Head","3583","I","Imputed value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5112","Stocks","02151","Chickens","2021","2021","1000 Head","161","I","Imputed value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5111","Stocks","02123","Goats","2021","2021","Head","22330","I","Imputed value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5111","Stocks","02131","Horses","2021","2021","Head","496","I","Imputed value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5111","Stocks","02122","Sheep","2021","2021","Head","8612","I","Imputed value"
"QCL","Crops and livestock products","028","Antigua and Barbuda","5111","Stocks","02140","Swine / pigs","2021","2021","Head","5326","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02132","Asses","2021","2021","Head","56868","A","Official figure"
"QCL","Crops and livestock products","032","Argentina","5114","Stocks","02196","Bees","2021","2021","No","2964676","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02111","Cattle","2021","2021","Head","53416435","A","Official figure"
"QCL","Crops and livestock products","032","Argentina","5112","Stocks","02151","Chickens","2021","2021","1000 Head","115536","A","Official figure"
"QCL","Crops and livestock products","032","Argentina","5112","Stocks","02154","Ducks","2021","2021","1000 Head","2625","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5112","Stocks","02153","Geese","2021","2021","1000 Head","167","I","Imputed value"
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02123","Goats","2021","2021","Head","4280903","A","Official figure"
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02131","Horses","2021","2021","Head","2462982","A","Official figure"
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02133","Mules and hinnies","2021","2021","Head","41930","A","Official figure"
"QCL","Crops and livestock products","032","Argentina","5112","Stocks","02191","Rabbits and hares","2021","2021","1000 Head","1141","E","Estimated value"
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02122","Sheep","2021","2021","Head","13347911","A","Official figure"
"QCL","Crops and livestock products","032","Argentina","5111","Stocks","02140","Swine / pigs","2021","2021","Head","5477107","A","Official figure"
"QCL","Crops and livestock products","032","Argentina","5112","Stocks","02152","Turkeys","2021","2021","1000 Head","2958","I","Imputed value"
"QCL","Crops and livestock products","051","Armenia","5111","Stocks","02132","Asses","2021","2021","Head","1402","I","Imputed value"
