english,arabic_romanization,hebrew_romanization
acquire,iqtanā,kaná
act,faʕala,pa'a'l
again,ṯāniyatan,sh'niyá
age,jīl,gil
aid,ʕazara,'azár
album,ʔalbūm,álbum
alcohol,kuḥūl,alkohól
alive,ḥayy,
all,kull,kol
ancient,qadīm,kadúm
ancient,ʕatīq,atík
and,wa-,ve
angle,zāwiya,zavít
animal,ḥayawān,ḥayyá
appearance,raʔy,r'í
apple,tuffāḥa,tapúakh
apple,tuffāḥ,tapúakh
appointment,mawʕid,mo'éd
april,ʔabrīl,apríl
arm,ḏirāʕ,zró‘a
arm,yad,yád
as,ka-,k'-
as,kamā,kmo
as,ʔillā,elá
ask,saʔala,sha'ál
asleep,nāʔim,nám
assist,ʕazara,'azár
author,kātaba,kotév
authority,sulṭān,shiltón
bag,kīs,kís
band,šarīṭ,séret
bank,bank,bank
bank,jadda,gada
bar,bar,bar
bar,bar,be'ér
be,hiya,hi
bean,fūl,pol
bear,dubb,dov
bear,dubba,dov
bed,ʕaraša,éres
bee,zunbūr,dvorá
beer,bīra,bíra
beginning,raʔs,rosh
believe,ʔāmana,he'emín
belt,ḥizām,mézakh
belt,ḥizām,mezíakh
between,bayna,bēn
billion,milyār,milyárd
bird,ʕuṣfūr,tsipór
birth,wilāda,hulédet
bitter,murr,mar
blood,dam,dam
blow,nafaḵa,nafákh
board,lawḥ,lúakh
body,jism,géshem
body,juṯṯa,guf
bone,ʕaẓm,étsem
bone,ʕaẓma,étsem
book,kitāb,katáv
book,sifr,séfer
book,kataba,katáv
box,tābūt,tevá
boy,walad,yéled
brain,muḵḵ,móakh
breast,ṯady,shad
breast,bezz,dád
breath,nafas,néfesh
breath,nasama,neshamá
breath,rūḥ,rúakh
bridge,jisr,gésher
bridge,jasūr,gésher
brother,ʔaḵ,akh
build,banā,baná
building,bināʔ,
building,mabnā,mivné
building,bunyān,binyɔn
bury,qabara,kavár
bus,ʔotobīs,otobús
bus,ʔotobūs,otobús
but,ʔillā,élla
by,bi-,be-
by,fī,be-
by,ḥattā,
cancer,saraṭān,sartán
cancer,as-saraṭān,sartán
cap,qubbaʕa,
card,qirṭās,kartís
carrot,jazar,gezer
cat,qiṭṭ,khatúl
cat,qiṭṭa,khatúl
ceremony,ṭuqūs,tekes
chain,silsila,sharshéret
chair,kursiyy,kisé
change,sana,
change,sana,shiná
charity,ṣadaqa,ts'daká
cheese,jubn,g'viná
chef,ṭabbāḵ,tavákh
chemistry,kīmiyāʔ,khímya
chief,raʔs,rosh
child,walad,yéled
child,walad,yaldá
child,ibn,ben
church,kanīsa,knesiyá
church,kanāʔis,knesiyá
clean,naqiyy,nakí
clear,naqiyy,nakí
climb,ʕalā,alá
close,qarīb,karóv
close,qarīb,k'rová
cloud,ʕanān,'anán
coal,faḥm,pekhám
coast,ḥāfa,khof
cold,qarra,kar
collect,qabaḍa,kaváts
collect,jabā,gavá
collection,qabaḍa,kibútz
college,kulliyya,mikhlalá
column,ʕamūd,amúd
column,ʕimād,amúd
command,waṣṣā,
command,waṣṣā,tsivá
command,waṣṣā,tsáv
command,waṣiyya,
compare,šabbaha,hishvá
complete,tamām,tamím
complete,tamām,tám
complicated,murakkab,murkáv
construct,banā,baná
construction,mabnā,mivné
construction,bināʔ,
control,kaffa,kaf
cook,ṭabbāḵ,tabakh
cook,ṭabbāḵa,tabakh
cook,ṭabaḵa,tabakh
core,lubb,lev
core,lubb,leváv
country,ʔarḍ,érets
couple,zawjāni,zug
couple,zawj,zug
cover,kafara,kipér
create,baraʔa,bará
cross,ṣalīb,tslav
cross,ʕabr,'avar
cross,ṣalaba,tslav
cry,bakā,bakhá
cry,bukaa',bakhá
cry,bukaa',bekhi
cup,kaʔs,kos
dance,raqṣ,rakád
date,tamra,tamár
date,tamr,tamár
date,tārīḵ,ta'aríkh
daughter,bint,bat
day,yawm,yom
dead,mayyit,met
dead,māʔit,met
death,mawt,mávet
death,mawt,mávet
death,mamāt,mávet
desire,raḍiya,ratsá
die,māta,met
difficult,ḵašuna,ashún
dig,ḥafara,khafár
dish,ṣaḥn,tsalákhat
dish,ʔināʔ,tsalákhat
do,faʕala,pa'al
dog,kalb,kélev
drag,jarra,garár
dream,ḥulm,khalóm
dream,ḥulm,khalám
dream,ʔaḥlām,khalóm
dream,ʔaḥlām,khalám
dry,yabbasa,yavésh
dust,ḡubra,afár
each,kull,kol
ear,ʔuḏun,
earth,ʔarḍ,éretz
east,mašriq,mizrákh
easy,basīṭ,pashút
eat,ʔakala,akhál
edge,šafa,safá
egg,bayḍ,beitsá
eight,ṯamāniya,shmóne
elephant,fīl,pil
enemy,šāniʔ,soné
equal,sāwā,shavé
equal,sawiya,
equal,sawwā,
even,sawiyy,shavé
every,kull,kol
example,miṯāl,mashál
example,maṯal,mashál
eye,ʕayn,áyin
eye,ʕīnēn,áyin
eye,maʕīn,áyin
eye,maʕīn,ma'ayán
fall,hawā,hu
fall,huwiyy,hu
fall,ḥalla,khal
farmer,ʔakkār,ikár
fast,ṣāma,tsam
fast,ṣawm,tsam
fast,ṣiyām,tsam
fat,samīn,shamén
father,ʔab,av
father,abu,av
father,ʔabā,av
february,fibrāyir,fébruar
female,ʔunṯā,nashí
fence,siyāj,sə'yág
figure,ṣūra,tsurá
fill,malaʔa,malé
film,šarīṭ,séret
fine,daqīq,daq
finger,ʔiṣbaʕ,"étsba, etsbá"
fire,nār,nur
fire,an-nār,nur
firm,ḵašuna,ashún
five,ḵamsa,khamésh
flame,an-nār,nur
float,ṭafā,ṣāf
float,ṭufuww,ṣāf
follow,ʕaqib,
food,ʔakl,ókhel
food,ʔakl,ókhel
food,ʔakl,okhlá
food,maʔkūl,ókhel
food,maʔkūl,ókhel
food,maʔkūl,okhlá
food,maʔkal,ókhel
food,maʔkal,ókhel
food,maʔkal,okhlá
foot,rijl,regel
for,li-,l'-
for,kay,ki
forget,nasiya,nashá
form,ṣūra,tsurá
form,ṣawwara,tsurá
four,ʔarbaʕa,arbá
four,ʔarbaʕa,arbaá
four,ʔarbaʕ,arbá
four,ʔarbaʕ,arbaá
free,balā,b'ló
fresh,ṭariyy,tarí
frog,ḍifdiʕ,tsfardea
from,min,mín
full,malīʔ,mal'e
function,faʕala,pa'ál
funny,muḍḥik,mats'khík
garden,janna,gan
garden,janna,ginén
garden,janna,hegén
garden,janna,ginén
garden,junūn,ginén
gas,ḡāz,gaz
gather,qabaḍa,kaváts
general,jinirāl,
gift,minḥa,minkhá
give,wahaba,y'háv
glass,zujāj,zkhukhit
glass,kaʔs,kos
god,ʔilāh,el
god,ʔilāh,
god,ʔilāh,elóah
god,allāh,
god,allāh,elóah
god,ʔill,el
god,ʔill,
god,ʔill,elóah
gold,ḏahab,zaháv
gold,muḏahhab,zaháv
golf,,
good,ṭayyib,tov
good,ṭayyib,tová
grab,ʔaḵaḏa,akház
grab,ḵaṭifa,chatáf
grain,barr,bar
grass,ʕušb,'ésev
ground,ʔarḍ,érets
hair,šaʕr,
hair,šaʕr,se'ár
hand,yad,yad
handle,yad,yád
happen,qarra,kará
hard,ḵašuna,ashún
hard,ḵašuna,khasón
hat,qubbaʕa,kóva
he,huwa,hu
head,raʔs,rosh
head,raʔs,
hear,samiʕa,shamá'
heart,lubb,lev
heart,lubb,leváv
heat,ḥamma,khóm
heaven,samāʔ,shamáyim
heel,ʕaqib,
hello,as-salāmu ʕalaykum,shalóm 'aleikhém
hello,salām,shalóm
here,hunā,héna
hi,salām,shalóm
hill,tall,tel
home,bayt,báyit
horse,faras,parash
hour,sāʕa,sha'á
house,bayt,báyit
human,ʔinsān,enósh
human,ʔunās,enósh
hunt,ṣāda,tzad
hunt,ṣayd,tzad
hunt,ṣayd,tsáyid
hunting,ṣayd,tsáyid
husband,baʕl,baʿal
i,ʔanā,aní
if,ʔin,im
in,fī,b'-
in,b,b'-
insight,ḥikma,khokhmá
intelligence,ḥikma,khokhmá
january,yanāyir,yánuar
jeans,jīnz,jins
july,yūliyō,yúli
jump,qafaza,kafats
june,yūniyō,yúni
kid,jady,g'dí
kill,qatala,katal
kill,dabaḥ,zavákh
kill,ʔamāta,hemít
killing,qatl,katál
killing,maqtal,katál
king,malik,mélekh
kitchen,maṭbaḵ,mitbákh
knee,rukba,bérekh
knife,sikkīn,sakín
labour,ʕamal,amál
lamp,nawwara,nir
lamp,fānūs,panás
lamp,manāra,menorá
lamp,manār,menorá
land,ʔarḍ,érets
land,yābisa,yabashá
language,lisān,lashón
laptop,"laptup, labtob",láptop
laugh,ḍaḥika,tsakhák
laugh,ḍaḥika,saḥáq
law,ḥuqūq,khók
law,dīn,din
leader,raʔs,rosh
leave,nazaḥa,zanákh
left,šimāl,smol
leg,rijl,régel
letter,ḵiṭāb,mikhtáv
lie,kaḏaba,kazáv
lie,kaḏaba,kizév
lie,kaḏba,kazáv
lie,kaḏba,kizév
life,ḥayāh,khayím
life,maḥyan,khayím
light,nūr,nur
light,bahara,bahír
light,bahara,behirá
like,ka-,k'-
lion,layṯ,láyish
lip,šafa,safá
listen,samiʕa,shama
live,ḥayiya,kháy
live,ḥayy,kháy
lively,ḥayya,kháy
living,ḥayy,khay
living,ḥayāh,khay
look,raʔy,ra'á
look,raʔy,nir'á
look,raʔy,r'í
look,raʔā,ra'á
look,raʔā,nir'á
look,raʔā,r'í
lord,baʕl,bá'al
lung,riʔa,
lung,riʔa,re'á
make,faʕala,pa'al
male,ḏakar,zakhár
man,ʔinsān,enósh
man,ʔunās,enósh
many,rabba,rabim
many,rabba,ráv
market,sūq,shuk
master,baʕl,be'alím
master,baʕl,bá'al
may,māyū,may
metre,mitr,méter
mile,mīl,mil
milk,ḥalīb,khaláv
milk,ḥalaba,khaláv
minister,kāhin,
minute,daqīqa,daká
minute,daqīq,daká
mix,mazaja,mazág
moment,daqīqa,daká
month,šahr,sáhar
mother,ʔumm,em
mouth,fam,pe
movie,šarīṭ,séret
mud,ṭīn,tít
mum,ʔumm,em
music,mūsīqā,múzika
nail,ẓufr,tzippóren
nail,mismār,masmér
name,ism,shem
name,ʔasmāʔ,shem
nation,ʔumma,ummá
nation,ʔumma,'umá
nature,ṭabaʕa,téva
near,qarīb,karóv
near,qarīb,k'rová
new,ḥadīṯ,khadásh
night,layla,láyla
night,layla,láyil
night,layl,láyla
night,layl,láyil
ninety,tisʕūna,tishʿím
no,lā,lo
north,šamāl,s'mól
nose,ʔanf,af
nose,ḵurṭūm,khartóm
not,lā,lo
not,ʔin,ein
observe,raʔy,ra'á
occur,ḥalla,khal
ocean,qāmūs,okyános
of,li-,l'-
office,maqām,makóm
oil,nafṭ,neft
ok,ṭayyeb,tov
old,qadīm,kadúm
old,ʕatīq,atík
on,ʕalā,al
one,wāḥid,akhát
one,wāḥid,ekhád
one,wāḥida,akhát
one,wāḥida,ekhád
one,ʔaḥad,akhát
one,ʔaḥad,ekhád
onion,baṣal,batsál
onto,ʕalā,al
open,fataḥa,patákh
open,fataḥa,niftákh
opening,fataḥa,patákh
opinion,qawl,kol
or,ʔaw,'o
order,waṣiyya,mitsvá
outside,barr,bar
oven,tannūr,tanúr
over,ʕabra,'avór
owner,baʕl,bá'al
paint,ṣabaḡa,tséva
pair,zawj,zug
path,ṭarīq,dérekh
path,darak,dérekh
peace,salām,shalóm
people,ʔunās,anashim
people,ʔumma,'umá
people,ʔumma,amá
pepper,filfil,pilpél
perfect,tamām,tám
period,nuqṭa,
period,jīl,gíl
person,ʔinsān,enósh
person,bašar,basár
pick,qaṭafa,qatáf
pig,ḵinzīr,khazír
pipe,ʔunbūb,abúv
pitch,zift,zefet
place,maqām,makóm
plain,basīṭ,pashút
plane,dulb,dolev
plastic,blastīk,plástik
plate,ṣaḥn,tsalákhat
poem,šiʕr,shir
poetry,šiʕr,shirá
point,nuqṭa,
point,naqaṭa,
poison,summ,sam
pool,birka,brechá
poor,miskīn,miskén
port,mīnāʔ,namél
position,maqām,míkum
post,ʕamūd,amúd
pound,līra,líra
pour,safaka,
power,sulṭān,shiltón
power,yad,yád
power,kaffa,kaf
powerful,ḵašuna,khasón
praise,sabḥ,
prevent,manaʕa,maná'
priest,kāhin,
pupil,tilmīḏ,talmíd
pupil,tilmīḏa,talmíd
quarter,rubuʕ,róva'
question,suʔāl,she'elá
rain,maṭar,matár
rain,máṭara,matár
raise,banā,baná
rare,nādir,nadir
raw,nayʔ,na
read,qaraʔa,kará
reader,qāriʔ,koré
reason,ḥakama,khokhmá
reason,ḥikma,khokhmá
relative,qarīb,karóv
relative,qarīb,k'rová
relative,qarība,karóv
relative,qarība,k'rová
relative,ʔaqribāʔ,karóv
relative,ʔaqribāʔ,k'rová
remember,ḏakara,zakhár
remind,ʔaḏkara,hizkír
repeat,ṯanā,shaná
return,ṯāba,shav
reward,šakara,sakhár
rice,ʔaruzz,órez
ride,rakiba,rakháv
ride,rukūb,rakháv
right,yamīn,yamín
rise,ʕalā,'alá
rise,ʕaliya,'alá
rise,qāma,qɔm
river,nahr,nahár
river,ʔanhār,nahár
river,ʔanhur,nahár
robot,rōbōt,robót
root,šereš,shóresh
rope,ḥabl,khével
rope,watara,yéter
