arabic,arabic_romanization,hebrew,hebrew_romanization,layers
-,,א־ה־ב,ʾ-h-b,direct_cognate_he→ar
-,,א־ח־ר,ʾ-kh-r,direct_cognate_he→ar
-,,א־כ־ל,ʾ-k-l,direct_cognate_he→ar
-,,א־מ־ר,ʾ-m-r,direct_cognate_he→ar
-,,א־ס־ר,ʾ-s-r,direct_cognate_he→ar
-,,א־פ־ל,ʾ-p-l,direct_cognate_he→ar
-,,א־ר־ץ,ʾ-r-ts,direct_cognate_he→ar
-,,א־ש־ם,ʾ-sh-m,direct_cognate_he→ar
-,,ב־ח־ן,b-kh-n,direct_cognate_he→ar
-,,ב־י־ת,b-y-t,direct_cognate_he→ar
-,,ב־כ־ר,b-k-r,direct_cognate_he→ar
-,,ב־ן,b-n,direct_cognate_he→ar
-,,ב־נ־ה,b-n-h,direct_cognate_he→ar
-,,ב־ר־ך,b-r-k,direct_cognate_he→ar
-,,בוץ,bots,direct_cognate_he→ar
-,,ג־ל־ח,g-l-kh,direct_cognate_he→ar
-,,ד־ל־ה,d-l-h,direct_cognate_he→ar
-,,ד־ק־ק,d-q-q,direct_cognate_he→ar
-,,ד־ר־ג,d-r-g,direct_cognate_he→ar
-,,ד־ר־ך,d-r-k,direct_cognate_he→ar
-,,ה־פ־ך,h-p-k,direct_cognate_he→ar
-,,ה־ר־ג,h-r-g,direct_cognate_he→ar
-,,ז־כ־ר,z-k-r,direct_cognate_he→ar
-,,ז־מ־ר,z-m-r,direct_cognate_he→ar
-,,ח־ג־ג,kh-g-g,direct_cognate_he→ar
-,,ח־ד־ש,kh-d-sh,direct_cognate_he→ar
-,,ח־ז־ק,kh-z-q,direct_cognate_he→ar
-,,ח־ט־א,kh-ṭ-ʾ,direct_cognate_he→ar
-,,ח־י־ה,kh-y-h,direct_cognate_he→ar
-,,ח־כ־ם,kh-k-m,direct_cognate_he→ar
-,,ח־ל־ם,kh-l-m,direct_cognate_he→ar
-,,ח־מ־ד,kh-m-d,direct_cognate_he→ar
-,,ח־מ־ר,kh-m-r,direct_cognate_he→ar
-,,ח־ש־ב,kh-sh-b,direct_cognate_he→ar
-,,ח־ת־ם,kh-t-m,direct_cognate_he→ar
-,,חנן,khanán,direct_cognate_he→ar
-,,חצוצרה,khatsotsrá,direct_cognate_he→ar
