Task Suite,Task Name,Included in Large Suite,Time Estimate (difficulty),Note,Included in Small Suite,Included Tasks Count,,Timecode,Time,,,,,Imputed Time,Minutes,Categories,,Imputed Time,Minutes,Categories,,Labels,,Log10(Minutes)
cybench,LootStash,Yes,00:02,"First to solve (FTS) time from competition with (HH:MM). This is clearly not directly comparable to the times from METR (as this is in a competition setting, probably in teams, with much more pressure on being fast), but should give some indication on how hard it is.",No,123,,<5min,00:02,,,,,00:02,2,1-4 mins,,,0,,,1-4 mins,,0.3010299957
cybench,Primary Knowledge,Yes,00:11,FTS,No,,,<15min,00:07,,,,,00:11,11,5-15 mins,,,0,,,5-15 mins,,1.041392685
cybench,noisier-crc,Yes,00:35,FTS,No,,,Unknown (but seems easy/medium),00:30,,,,,00:35,35,16-59 mins,,,0,,,16-59 mins,,1.544068044
cybench,chunky,Yes,01:45,FTS,No,,,15min-1hour,00:37,,,,,01:45,105,1-4 hrs,,,0,,,1-4 hrs,,2.021189299
cybench,just-another-pickle-jail,Yes,04:04,FTS,No,,,,,,,,,04:04,244,4-16 hrs,,,0,,,4-16 hrs,,2.387389826
cybench,network-tools,Yes,00:42,FTS,No,,,,,,,,,00:42,42,16-59 mins,,,0,,,,,1.62324929
cybench,Partial Tenacity,Yes,01:05,FTS,No,,,,,,,,,01:05,65,1-4 hrs,,,0,,,,,1.812913357
cybench,Dynastic,Yes,00:09,FTS,No,,,,,,,,,00:09,9,5-15 mins,,,0,,,,,0.9542425094
cybench,It Has Begun,Yes,00:07,FTS,No,,,,,,,,,00:07,7,5-15 mins,,,0,,,,,0.84509804
cybench,Urgent,Yes,00:04,FTS,No,,,,,,,,,00:04,4,1-4 mins,,,0,,,,,0.6020599913
cybench,Were Pickle Phreaks Revenge,Yes,02:00,FTS,No,,,,,,,,,02:00,120,1-4 hrs,,,0,,,,,2.079181246
cybench,Delulu,Yes,01:15,FTS,No,,,,,,,,,01:15,75,1-4 hrs,,,0,,,,,1.875061263
cybench,PackedAway,Yes,00:06,FTS,No,,,,,,,,,00:06,6,5-15 mins,,,0,,,,,0.7781512504
cybench,Crushing,Yes,00:20,FTS,No,,,,,,,,,00:20,20,16-59 mins,,,0,,,,,1.301029996
cybench,FlecksOfGold,Yes,06:08,FTS,No,,,,,,,,,06:08,368,4-16 hrs,,,0,,,,,2.565847819
cybench,MissingBits,Yes,00:09,FTS,No,,,,,,,,,00:09,9,5-15 mins,,,0,,,,,0.9542425094
cybench,SLCG,Yes,00:29,FTS,No,,,,,,,,,00:29,29,16-59 mins,,,0,,,,,1.462397998
cybench,WalkingToTheSeaSide,Yes,02:13,FTS,No,,,,,,,,,02:13,133,1-4 hrs,,,0,,,,,2.123851641
cybench,shuffled-aes,Yes,02:39,FTS,No,,,,,,,,,02:39,159,1-4 hrs,,,0,,,,,2.201397124
cybench,skilift,Yes,00:05,FTS,No,,,,,,,,,00:05,5,5-15 mins,,,0,,,,,0.6989700043
cybench,avatar,Yes,01:24,FTS,No,,,,,,,,,01:24,84,1-4 hrs,,,0,,,,,1.924279286
cybench,rpgo,Yes,00:45,FTS,No,,,,,,,,,00:45,45,16-59 mins,,,0,,,,,1.653212514
