date,OpenAI ChatGPT_daily_tokens,OpenAI API_daily_tokens,OpenAI (Inference)_daily_tokens,OpenAI (Revenue)_daily_tokens,Gemini Assistant_daily_tokens,Gemini API_daily_tokens,Meta_daily_tokens,Anthropic_daily_tokens,xAI_daily_tokens,us_total_daily_tokens,global_total_daily_tokens
2024-01-01,102574985422.54294,662402915966.6884,113454412842.00687,117069065655.06314,28925347371.732967,484255556527.7245,30991967325.329285,5182138130.604858,1440103947.9032185,882628906598.7285,1176838542131.638
2024-02-01,118695909045.72028,749462689664.3861,128733503859.88155,129564371295.55469,30884847901.964897,556833843978.0444,33253416693.319176,6423940561.871441,1677758274.8093684,1004559298698.5234,1339412398264.6978
2024-03-01,136063013014.24173,841236179192.1658,144884449411.8983,142458221952.68768,32837930358.069954,634546811125.3578,35518125728.27091,7853715592.37756,1935464567.689097,1134239335228.7632,1512319113638.3508
2024-04-01,157446993052.90637,951800051453.9672,164396274771.4089,157663425943.50665,35062482448.0213,729650151164.9954,38109843838.23218,9735711569.963049,2254866184.3255696,1291915303612.8005,1722553738150.4006
2024-05-01,181335853519.50656,1072614286665.6158,185777093176.77936,173921648421.8643,37358657247.3501,835235997239.4761,40797881909.099976,11985351948.020767,2614065502.1167645,1465874914440.652,1954499885920.8694
2024-06-01,209835018620.02255,1213588238940.591,210795997638.83075,192485084820.49973,39889458614.89657,960417830425.5349,43774857952.292694,14857417264.223572,3045453790.6500134,1670886464720.9124,2227848619627.883
2024-07-01,241672523951.96475,1367631868929.3525,238211405636.13278,212334110135.34073,42501742835.39287,1099397489442.3754,46862471882.753,18290535177.69685,3530593410.717218,1897199468966.5322,2529599291955.376
2024-08-01,279654340711.6861,1547380052611.4673,270291724568.09723,234997480592.74496,45380954156.57203,1264170791339.0996,50281974307.66303,22673519667.957787,4113232463.8390117,2164061671429.7969,2885415561906.3955
2024-09-01,323605468259.4491,1750752583072.7385,306692352429.2375,260079814071.10324,48455212957.67394,1453639657196.3333,53950994019.32009,28106804373.905655,4792022001.238926,2469321429825.9814,3292428573101.3086
2024-10-01,372704950742.9356,1972979755729.054,346579713032.2883,286899195002.3092,51628452018.95439,1663992211564.2493,57756371089.36742,34601471103.02153,5555389266.955519,2806588433211.41,3742117910948.547
2024-11-01,431280128893.4018,2232288956977.4194,393254168857.4968,317521230887.75397,55125937383.81671,1913384713969.308,61970789216.69589,42893066166.33515,6472171905.363153,3204628173846.8765,4272837565129.1685
2024-12-01,496716696600.4807,2515638682266.3057,444399463866.2382,350263959789.50854,58736029407.33808,2190265824140.342,66341834173.05347,52804408844.61374,7503186406.002384,3644657550478.8613,4859543400638.481
2025-01-01,574781849573.8632,2846269676037.917,504247465249.5122,387649200783.18225,62715006022.14862,2518534112308.0767,71182723987.72896,65457997311.80929,8741405853.679165,4164280642698.267,5552374190264.355
2025-02-01,665381950053.4779,3221445237753.636,572353378255.9265,429143955310.46075,66975558448.243,2897110202477.069,76391587048.61946,81191551197.10184,10188226096.513853,4761298632392.047,6348398176522.729
2025-03-01,759429120792.3849,3602644891289.818,641741625801.404,470427997224.93146,71072044923.68376,3287733903635.832,81423226435.14526,98629292870.69781,11699807248.051466,5375306153482.924,7167074871310.564
2025-04-01,879134283198.1644,4077520596896.6284,728418113739.5697,520783561555.3239,75900333919.15938,3781933065233.6123,87381447934.94121,122335934652.9401,13636282712.884062,6149805916250.1,8199741221666.799
2025-05-01,1012914076639.2893,4596594601710.901,823429473720.9799,574641153875.1324,80884957065.42976,4330810407164.606,93562276724.68245,150690019066.9699,15814940681.937431,7007622369352.394,9343496492469.857
2025-06-01,1172574854356.5627,5202485876242.878,934645533233.3641,636151905279.0991,86379887575.96739,4981800704732.987,100408784694.90324,186910032393.5645,18432526079.625652,8022551325181.018,10696735100241.355
2025-07-01,1351008143569.0876,5864769515186.191,1056556207251.9158,701940483293.674,92052737282.31027,5704816549193.198,107511087550.41364,230230605791.45654,21377476010.5432,9147413238928.213,12196550985237.617
2025-08-01,1563961064136.9243,6637822826232.99,1199259403790.306,777077612399.5361,98306352454.06465,6562342017587.861,115378312927.6562,285569079179.3357,24915735822.578922,10479218466824.748,13972291289099.664
2025-09-01,1810480730097.9653,7512774672284.031,1361236730907.8245,860257571780.6162,104984807819.30682,7548767323973.919,123821229952.60742,354208766914.5459,29039625223.979984,12009071655574.504,16012095540766.004
2025-10-01,2085985556528.5,8469161266475.054,1538789911726.2266,949222364472.2664,111879503481.914,8644330696506.112,132579585884.65897,436304557540.3874,33679262890.97921,13706493306038.066,18275324408050.754
2025-11-01,2414789434313.824,9585507465909.625,1746625744497.9727,1050829046302.1351,119480052700.09889,9943712309492.092,142281222305.06076,541175185246.2851,39253633893.775154,15718486300645.164,20957981734193.55
2025-12-01,2782253242632.2344,10805755808078.22,1974447217129.7122,1159502066250.5679,127326698498.02841,11386857464954.943,152345325107.75143,666604617970.4469,45525155546.55142,17952645373441.3,23936860497921.734
2026-01-01,3220806449434.256,12230095721892.012,2241124869815.688,1283617512679.2842,135976655001.27388,13098484858575.46,163493338164.82297,826830413255.0626,53060181114.003586,20603060297384.37,27470747063179.16
