date,OpenAI ChatGPT_daily_tokens,OpenAI API_daily_tokens,OpenAI (Inference)_daily_tokens,OpenAI (Revenue)_daily_tokens,Gemini Assistant_daily_tokens,Gemini API_daily_tokens,Meta_daily_tokens,Anthropic_daily_tokens,xAI_daily_tokens,us_total_daily_tokens,global_total_daily_tokens
2024-01-01,111403799567.91608,600432063951.7529,115080279650.45691,116250323998.75688,19269587903.130665,636777075681.5846,37180315192.199905,9566088308.861988,888737462.4125717,1018070626937.8173,1357427502583.7563
2024-02-01,128267721943.05374,682562874241.3856,129109792468.92111,129377979296.2407,21058267771.433937,723879381403.5417,39426602163.15768,11526093893.662745,1081386437.4297595,1153411187652.4263,1537881583536.5684
2024-03-01,146347481076.4528,769536580573.8711,143778630635.60947,142997596120.49197,22881566305.186634,816117730593.4331,41650671050.930084,13721686219.396452,1299245125.4813983,1296557662096.5696,1728743549462.0928
2024-04-01,168501057258.2566,874798552251.526,161306778356.925,159145707245.40118,25005524389.34911,927751359990.6147,44167039167.4914,16533136496.097912,1580878625.030982,1469621970372.6204,1959495960496.8271
2024-05-01,193128005077.98346,990354666196.7148,180301497885.65506,176507112756.5237,27248501762.87218,1050302250812.225,46746893340.48204,19801213221.880463,1911425307.9606414,1659440711751.046,2212587615668.061
2024-06-01,222363055397.10794,1125821500985.244,202282172450.1024,196439311258.20782,29777816182.55907,1193969086891.471,49571154966.58566,23858303983.302418,2325759283.9382133,1881804134671.4104,2509072179561.8804
2024-07-01,254862099921.8347,1274536376329.9263,226101959631.33307,217869122970.44244,32448864663.304317,1351685886372.632,52466670568.515366,28574333998.712868,2812053427.2242417,2125777661981.5676,2834370215975.4233
2024-08-01,293442244280.61115,1448875342578.0723,253666198704.80905,242472157593.82703,35460897471.91048,1536577839634.0845,55636498416.890205,34428958418.97415,3421613880.51909,2411677788874.818,3215570385166.424
2024-09-01,337862517631.62744,1647061470600.2234,284590812349.82104,269853508412.0147,38752519157.80266,1746760457484.3232,58997834673.93564,41483142804.63855,4163306939.3433986,2736613364057.939,3648817818743.9185
2024-10-01,387242163832.91516,1864629300909.8987,318102873752.9507,299292167294.0656,42228591976.13532,1977497979786.4546,62443974891.84261,49683044471.4608,5033814818.334438,3093309574540.838,4124412766054.45
2024-11-01,445861545008.30707,2119684826035.5974,356883004966.24506,333089960455.6173,46148418010.51743,2247992380696.7695,66216591839.52752,59862654097.66046,6124979876.850085,3511518136676.5806,4682024182235.44
2024-12-01,511025581260.8862,2399683621936.1567,398907851367.4568,369427163483.365,50287897583.51388,2544939904242.497,70084389047.55606,71695602228.63985,7405654907.338396,3970761520692.167,5294348694256.223
2025-01-01,588382868602.234,2727927185431.4834,447538970714.26764,411145003855.0502,54955820451.356544,2893052520178.098,74318609472.29544,86385387252.22227,9010956683.812233,4509387970238.797,6012517293651.729
2025-02-01,677711907837.4731,3102159365864.917,502257007978.2943,457708010911.49664,60071645684.130615,3289937509820.3125,78821311499.23288,104138142404.31117,10970130106.071806,5123884170378.12,6831845560504.16
2025-03-01,769998218749.3926,3484114378760.3945,557408047147.4633,504281414109.49896,65100522825.5731,3695012806020.763,83122297161.30551,123288977753.5438,13103405554.599504,5751562028904.702,7668749371872.936
2025-04-01,886900332601.4293,3962084512204.578,625559149712.8812,561392308863.2144,71160716170.0355,4201915155363.2866,88158383527.43245,148625659160.38803,15952364306.09965,6537791046321.276,8717054728428.368
2025-05-01,1016903519876.9824,4486979189217.904,699435312220.9915,622811952903.9874,77562032585.4615,4758582458021.25,93322342749.8331,178092226512.22058,19297887849.41679,7402233605791.471,9869644807721.96
2025-06-01,1171291112162.4983,5102527879266.555,784951278387.6989,693346672007.9353,84782265131.29646,5411391190801.227,98976413847.79771,214691329581.94116,23493658654.557106,8417373838625.048,11223165118166.73
2025-07-01,1342980728471.9934,5778507837517.559,877651046634.88,769202905018.9259,92408918357.02753,6128289182892.838,104774049247.17966,257256096384.24014,28420739470.88868,9533929825566.627,12711906434088.836
2025-08-01,1546873779387.7002,6571235590382.35,984956434136.5195,856316696888.9653,101011244232.27647,6969001880610.189,111121938790.12898,310123886131.5636,34600012034.96142,10845653128730.965,14460870838307.953
2025-09-01,1781722133928.5903,7472714132870.871,1105381439316.8772,953296302687.5164,110414358730.33456,7925048208811.716,117854424537.39572,373856348211.6299,42122789734.10791,12340334132959.803,16453778843946.402
2025-10-01,2042889649302.8467,8462695002563.043,1235922794010.3596,1057592565126.5487,120346766455.83247,8974954036682.273,124757856952.32004,447977218905.96985,50956764564.52048,13985359313895.182,18647145751860.242
2025-11-01,2353043767265.8,9623654437281.738,1387032024543.259,1177367071957.7056,131549820462.86835,10206188006699.771,132316494813.87732,540039431438.8751,62035847765.36334,15919162034863.592,21225549379818.12
2025-12-01,2697956468614.1787,10898590641191.486,1550835244904.5012,1306178003855.9539,143383484744.23373,11558297922787.572,140067056431.86774,647107809598.3599,75045981263.25084,18048422374347.324,24064563165796.43
2026-01-01,3107563668450.467,12393719749140.672,1740447024601.8464,1454105316702.402,156731021787.501,13143929334375.213,148553224612.1004,780092644953.2389,91362571953.6134,20552614050646.797,27403485400862.395
2026-02-01,3579357956962.7646,14093958960132.736,1953241555089.8523,1618785698289.383,171321078116.997,14947086456946.352,157553539746.06894,940406723089.6893,111226736108.60857,23409375924165.96,31212501232221.28
