date,OpenAI ChatGPT_daily_tokens,OpenAI API_daily_tokens,OpenAI (Inference)_daily_tokens,OpenAI (Revenue)_daily_tokens,Gemini Assistant_daily_tokens,Gemini API_daily_tokens,Meta_daily_tokens,Anthropic_daily_tokens,xAI_daily_tokens,total_daily_tokens
2024-01-01,111403799567.91608,608404383756.084,115080279650.45691,116250323998.75688,19269587903.130665,645536472361.2936,37180315192.199905,9566088308.861988,888737462.4125717,1029487463552.3033
2024-02-01,128267721943.05374,691187217661.0614,129109792468.92111,129377979296.2407,21058267771.433937,733371701688.8232,39426602163.15768,11526093893.662745,1081386437.4297595,1165778289077.5999
2024-03-01,146347481076.4528,778797683101.0308,143778630635.60947,142997596120.49197,22881566305.186634,826329202180.3429,41650671050.930084,13721686219.396452,1299245125.4813983,1309856167859.1992
2024-04-01,168501057258.2566,884765162900.7506,161306778356.925,159145707245.40118,25005524389.34911,938764080891.4608,44167039167.4914,16533136496.097912,1580878625.030982,1483956894823.208
2024-05-01,193128005077.98346,1001023267735.1791,180301497885.65506,176507112756.5237,27248501762.87218,1062117641256.8547,46746893340.48204,19801213221.880463,1911425307.9606414,1674812302708.497
2024-06-01,222363055397.10794,1137227978155.8696,202282172450.1024,196439311258.20782,29777816182.55907,1206635186875.3528,49571154966.58566,23858303983.302418,2325759283.9382133,1898272393712.1675
2024-07-01,254862099921.8347,1286659686194.2217,226101959631.33307,217869122970.44244,32448864663.304317,1365186999192.1326,52466670568.515366,28574333998.712868,2812053427.2242417,2143319878089.1663
2024-08-01,293442244280.61115,1461729652713.6426,253666198704.80905,242472157593.82703,35460897471.91048,1550941822169.6494,55636498416.890205,34428958418.97415,3421613880.51909,2430326541455.5728
2024-09-01,337862517631.62744,1660620598087.6204,284590812349.82104,269853508412.0147,38752519157.80266,1761971464113.837,58997834673.93564,41483142804.63855,4163306939.3433986,2756344079849.9185
2024-10-01,387242163832.91516,1878826074159.6235,318102873752.9507,299292167294.0656,42228591976.13532,1993494439677.9146,62443974891.84261,49683044471.4608,5033814818.334438,3114038292182.206
2024-11-01,445861545008.30707,2134469443908.6692,356883004966.24506,333089960455.6173,46148418010.51743,2264740215508.014,66216591839.52752,59862654097.66046,6124979876.850085,3533194177445.516
2024-12-01,511025581260.8862,2414938638200.8345,398907851367.4568,369427163483.365,50287897583.51388,2562326983656.557,70084389047.55606,71695602228.63985,7405654907.338396,3993233605527.786
2025-01-01,588382868602.234,2743528420777.1553,447538970714.26764,411145003855.0502,54955820451.356544,2910971232057.1777,74318609472.29544,86385387252.22227,9010956683.812233,4532507093899.768
2025-02-01,677711907837.4731,3117917480804.5464,502257007978.2943,457708010911.49664,60071645684.130615,3308209975816.189,78821311499.23288,104138142404.31117,10970130106.071806,5147409341353.872
2025-03-01,769998218749.3926,3499801920694.828,557408047147.4633,504281414109.49896,65100522825.5731,3713401556873.688,83122297161.30551,123288977753.5438,13103405554.599504,5775179960402.4375
2025-04-01,886900332601.4293,3977394039461.2046,625559149712.8812,561392308863.2144,71160716170.0355,4220142040353.8413,88158383527.43245,148625659160.38803,15952364306.09965,6561121107064.04
2025-05-01,1016903519876.9824,4501545770111.578,699435312220.9915,622811952903.9874,77562032585.4615,4776283758296.756,93322342749.8331,178092226512.22058,19297887849.41679,7424790433031.535
2025-06-01,1171291112162.4983,5115838473179.3125,784951278387.6989,693346672007.9353,84782265131.29646,5428067925411.847,98976413847.79771,214691329581.94116,23493658654.557106,8438487437873.255
2025-07-01,1342980728471.9934,5790017486585.748,877651046634.88,769202905018.9259,92408918357.02753,6143393379458.686,104774049247.17966,257256096384.24014,28420739470.88868,9552870571821.871
2025-08-01,1546873779387.7002,6580138408216.641,984956434136.5195,856316696888.9653,101011244232.27647,6981736899174.259,111121938790.12898,310123886131.5636,34600012034.96142,10861355753239.797
2025-09-01,1781722133928.5903,7478081296233.65,1105381439316.8772,953296302687.5164,110414358730.33456,7934482967067.16,117854424537.39572,373856348211.6299,42122789734.10791,12351557945669.506
2025-10-01,2042889649302.8467,8463563049984.164,1235922794010.3596,1057592565126.5487,120346766455.83247,8980110565877.45,124757856952.32004,447977218905.96985,50956764564.52048,13990805192230.732
2025-11-01,2353043767265.8,9618522987985.662,1387032024543.259,1177367071957.7056,131549820462.86835,10205559928180.223,132316494813.87732,540039431438.8751,62035847765.36334,15916823473245.35
2025-12-01,2697956468614.1787,10886077929851.787,1550835244904.5012,1306178003855.9539,143383484744.23373,11550476183787.66,140067056431.86774,647107809598.3599,75045981263.25084,18036429731567.51
2026-01-01,3107563668450.467,12371620580941.818,1740447024601.8464,1454105316702.402,156731021787.501,13126684357381.895,148553224612.1004,780092644953.2389,91362571953.6134,20528002684253.86
2026-02-01,3579357956962.7646,14059884265486.512,1953241555089.8523,1618785698289.383,171321078116.997,14917986018636.178,157553539746.06894,940406723089.6893,111226736108.60857,23368917254307.047
2026-03-01,4066771174085.3066,15781947489001.34,2167719998994.9382,1783502848132.2527,185663163201.86508,16745150069670.62,166150650128.62363,1113345992980.6458,132856130023.36581,26276479842743.066
2026-04-01,4684193572250.399,17935593298200.57,2432754758971.285,1985488169428.5,202946506209.1472,19030237020890.754,176217131114.00964,1342145787039.4983,161741875240.00897,29925964920110.336
2026-05-01,5370809724960.626,20299194232436.043,2720053867294.8228,2202712336358.0425,221202713728.83777,21538093061862.234,186539213291.00436,1608240009619.8635,195662317449.8707,33947327369634.99
2026-06-01,6186212922857.521,23069275340559.71,3052619338930.1914,2452173983950.6787,241794425674.14005,24477237542796.348,197840965298.37787,1938743721239.679,238203462140.32828,38680580645914.91
2026-07-01,7092997335464.674,26109406761955.895,3413122102677.429,2720456343439.5586,263545227373.9491,27702914026530.582,209429683653.2942,2323119627545.162,288159398163.4186,43899162144445.6
2026-08-01,8169865257843.822,29672364660060.168,3830425074311.185,3028553551793.303,288078594596.9935,31483326091470.836,222118288402.25803,2800535718954.3057,350811373316.099,50045272914743.32
2026-09-01,9410224644751.834,33721533106711.324,4298749300063.653,3371543394990.0664,314895767576.3323,35779623069001.79,235575650892.12418,3376063901380.1157,427085218918.3108,57067260423274.305
2026-10-01,10789589554006.494,38165447831454.31,4806415284997.111,3740410214002.3022,343222456157.12177,40494758448491.586,249374713514.66968,4045403333723.716,516653362390.7885,64816699942431.3
2026-11-01,12427678832322.227,43373604609030.195,5394068266928.757,4164019270553.055,375172959074.5967,46020779041809.305,264483446522.22174,4876759853147.015,628984779756.8792,73952637073254.75
2026-12-01,14249346723577.445,49089495389495.81,6031087266733.227,4619587644645.881,408921928320.72626,52085521619836.984,279975810131.8566,5843627710848.693,760895219406.6666,84042114630029.05
2027-01-01,16412700757951.086,55788376252879.1,6768473906553.699,5142765331541.364,446988380644.7248,59193248054383.38,296938555488.98157,7044530956761.849,926330005444.8601,95945474702365.55
